County_Name,State_Abbr,Median_Income
Lyon County,KY,64464
McCracken County,KY,62385
McCreary County,KY,37355
McLean County,KY,70549
Madison County,KY,62407
Magoffin County,KY,33632
Marion County,KY,55404
Marshall County,KY,63611
Martin County,KY,46185
Mason County,KY,51473
Meade County,KY,70163
Menifee County,KY,44672
Mercer County,KY,63115
Metcalfe County,KY,48572
Monroe County,KY,49430
Montgomery County,KY,57468
Morgan County,KY,47493
Muhlenberg County,KY,52672
Nelson County,KY,67888
Nicholas County,KY,53616
Ohio County,KY,54369
Oldham County,KY,121491
Owen County,KY,59706
Owsley County,KY,31064
Pendleton County,KY,66601
Perry County,KY,45261
Pike County,KY,42179
Powell County,KY,39811
Pulaski County,KY,50943
Robertson County,KY,52337
Rockcastle County,KY,48367
Rowan County,KY,53657
Russell County,KY,50520
Scott County,KY,83660
Shelby County,KY,82671
Simpson County,KY,57392
Spencer County,KY,98333
Taylor County,KY,61871
Todd County,KY,57759
Trigg County,KY,54630
Trimble County,KY,67813
Union County,KY,60989
Warren County,KY,64801
Washington County,KY,59762
Wayne County,KY,41933
Webster County,KY,58786
Whitley County,KY,41719
Wolfe County,KY,29052
Woodford County,KY,80006
Acadia Parish,LA,45266
Allen Parish,LA,51138
Ascension Parish,LA,92266
Assumption Parish,LA,52546
Avoyelles Parish,LA,39439
Beauregard Parish,LA,64995
Bienville Parish,LA,34992
Bossier Parish,LA,66336
Caddo Parish,LA,50067
Calcasieu Parish,LA,67849
Caldwell Parish,LA,44957
Cameron Parish,LA,72500
Catahoula Parish,LA,47753
Claiborne Parish,LA,31784
Concordia Parish,LA,37349
